NFT #;Type;Hotel;Place;Experience;Night;Surprise
351;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
352;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
353;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
354;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
355;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
356;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
357;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
358;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
359;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
360;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
361;Silver - Very rare; LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;5;Yes
362;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
363;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
364;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
365;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
366;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
367;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
368;Silver - Very rare; LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;5;Yes
369;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
370;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
371;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
372;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
373;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
374;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
375;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
376;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
377;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
378;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
379;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
380;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
381;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
382;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
383;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
384;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
385;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
386;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
387;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
388;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
389;Gold - Very rare;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;5;Yes
390;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
391;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
392;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
393;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
394;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
395;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
396;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
397;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
398;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
399;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
400;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
401;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
402;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
403;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
404;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
405;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
406;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
407;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
408;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
